Region,"Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"Chon Buri",26158.91466742,692234,1393015,1446,226641,47,12270,68,86,,2026-06-01,2026-06-29
Bangkok,17216.21928203,377169,605480,1391,223212,12,6610,69,38,,2026-06-01,2026-06-29
"Nakhon Ratchasima",2239.37735079,38877,67052,167,22591,3,1145,6,5,,2026-06-01,2026-06-29
Rayong,1745.98353541,40586,61012,100,23594,2,1090,5,1,,2026-06-01,2026-06-29
"Khon Kaen",1368.94127622,21701,38261,130,11195,3,602,5,4,,2026-06-01,2026-06-29
"Udon Thani",1361.90936907,21193,37689,133,10968,1,546,4,5,,2026-06-01,2026-06-29
"Sakon Nakhon",1104.84965084,16112,29987,104,7998,3,498,4,3,,2026-06-01,2026-06-29
Chachoengsao,613.10628309,12183,20394,40,7591,3,356,1,2,,2026-06-01,2026-06-29
"Maha Sarakham",644.54480966,10681,18851,56,5339,4,272,3,2,,2026-06-01,2026-06-29
Chanthaburi,613.09628038,11808,18785,35,7185,1,346,2,3,,2026-06-01,2026-06-29
Kalasin,691.04742183,9923,18256,61,4625,4,289,1,1,,2026-06-01,2026-06-29
Unknown,0.25006782,2,8,,,,,,,,2026-06-01,2026-06-29
